,model,aicc,weights
44,dL ~ 1 + predator + morph + substrate + species + morph:predator,2895.379178,7.28E-11
45,dL ~ 1 + predator + morph + substrate + species + morph:predator + species:predator + species:morph,2895.51932,6.79E-11
46,dL ~ 1 + predator + morph + substrate + species + morph:predator + species:morph + species:substrate,2896.947339,3.32E-11
47,dL ~ 1 + predator + morph + substrate + species + morph:predator + substrate:morph + species:morph,2897.182079,2.96E-11
48,dL ~ 1 + predator + morph + substrate + species + species:morph,2897.606017,2.39E-11
49,dL ~ 1 + predator + morph + substrate + species + morph:predator + species:predator,2897.714031,2.27E-11
50,dL ~ 1 + predator + morph + substrate + morph:predator + substrate:morph,2897.992027,1.97E-11
51,dL ~ 1 + predator + morph + substrate,2898.468117,1.55E-11
52,dL ~ 1 + predator + morph + substrate + species + morph:predator + species:substrate,2899.14205,1.11E-11
53,dL ~ 1 + predator + morph + substrate + species + morph:predator + species:predator + species:morph + species:substrate,2899.320514,1.01E-11
54,dL ~ 1 + predator + morph + substrate + species + morph:predator + substrate:morph,2899.376789,9.86E-12
55,dL ~ 1 + predator + morph + substrate + species + morph:predator + substrate:morph + species:predator + species:morph,2899.555998,9.02E-12
56,dL ~ 1 + predator + morph + substrate + species,2899.826865,7.88E-12
57,dL ~ 1 + predator + morph + substrate + species + species:predator + species:morph,2900.353762,6.05E-12
58,dL ~ 1 + predator + substrate,2900.581784,5.40E-12
59,dL ~ 1 + predator + morph + substrate + species + morph:predator + substrate:morph + species:morph + species:substrate,2901.010565,4.36E-12
60,dL ~ 1 + predator + morph + substrate + species + species:morph + species:substrate,2901.36168,3.66E-12
61,dL ~ 1 + predator + morph + substrate + species + morph:predator + species:predator + species:substrate,2901.501969,3.41E-12
62,dL ~ 1 + predator + morph + substrate + species + substrate:morph + species:morph,2901.592947,3.26E-12
63,dL ~ 1 + predator + substrate + species,2901.611304,3.23E-12
64,dL ~ 1 + predator + morph + substrate + species + morph:predator + substrate:morph + species:predator,2901.737454,3.03E-12
65,dL ~ 1 + predator + morph + substrate + substrate:morph,2902.429095,2.14E-12
66,dL ~ 1 + predator + morph + substrate + species + species:predator,2902.561603,2.01E-12
67,dL ~ 1 + predator + morph + substrate + species + morph:predator + substrate:morph + species:substrate,2903.19202,1.46E-12
68,dL ~ 1 + predator + morph + substrate + species + morph:predator + substrate:morph + species:predator + species:morph + species:substrate,2903.41001,1.31E-12
69,dL ~ 1 + predator + morph + substrate + species + species:substrate,2903.569522,1.21E-12
70,dL ~ 1 + predator + morph + substrate + species + substrate:morph,2903.800788,1.08E-12
71,dL ~ 1 + predator + morph + substrate + species + species:predator + species:morph + species:substrate,2904.134675,9.14E-13
72,dL ~ 1 + predator + substrate + species + species:predator,2904.333096,8.28E-13
73,dL ~ 1 + predator + morph + substrate + species + substrate:morph + species:predator + species:morph,2904.366504,8.14E-13
74,dL ~ 1 + predator + substrate + species + species:substrate,2905.341014,5.00E-13
75,dL ~ 1 + predator + morph + substrate + species + substrate:morph + species:morph + species:substrate,2905.400462,4.85E-13
76,dL ~ 1 + predator + morph + substrate + species + morph:predator + substrate:morph + species:predator + species:substrate,2905.578083,4.44E-13
77,dL ~ 1 + predator + morph + substrate + species + species:predator + species:substrate,2906.329386,3.05E-13
78,dL ~ 1 + predator + morph + substrate + species + substrate:morph + species:predator,2906.561215,2.72E-13
79,dL ~ 1 + predator + morph + substrate + species + substrate:morph + species:substrate,2907.595172,1.62E-13
80,dL ~ 1 + predator + substrate + species + species:predator + species:substrate,2908.08781,1.27E-13
81,dL ~ 1 + predator + morph + substrate + species + substrate:morph + species:predator + species:morph + species:substrate,2908.199579,1.20E-13
82,dL ~ 1 + predator + morph + substrate + species + substrate:morph + species:predator + species:substrate,2910.381035,4.02E-14
83,dL ~ 1 + predator + morph + species + morph:predator + species:morph,3119.837645,1.32E-59
84,dL ~ 1 + predator + morph + morph:predator,3120.699746,8.60E-60
85,dL ~ 1 + predator + morph + species + species:morph,3121.479405,5.82E-60
86,dL ~ 1 + predator + morph + species + morph:predator,3122.058494,4.36E-60
87,dL ~ 1 + predator + morph,3122.367216,3.74E-60
88,dL ~ 1 + predator + morph + species + morph:predator + species:predator + species:morph,3122.762341,3.07E-60
89,dL ~ 1 + predator + morph + species,3123.713139,1.91E-60
90,dL ~ 1 + predator,3124.493647,1.29E-60
91,dL ~ 1 + predator + morph + species + species:predator + species:morph,3124.658613,1.19E-60
92,dL ~ 1 + predator + morph + species + morph:predator + species:predator,3124.970182,1.02E-60
93,dL ~ 1 + predator + species,3125.510402,7.76E-61
94,dL ~ 1 + predator + morph + species + species:predator,3126.879461,3.91E-61
95,dL ~ 1 + predator + species + species:predator,3128.6639,1.60E-61
96,dL ~ 1 + morph + substrate + species + species:morph,3398.441959,4.20E-120
97,dL ~ 1 + morph + substrate,3399.329769,2.70E-120
98,dL ~ 1 + morph + substrate + species,3400.675692,1.38E-120
99,dL ~ 1 + substrate,3401.4562,9.31E-121
100,dL ~ 1 + morph + substrate + species + species:morph + species:substrate,3402.399574,5.81E-121
